variable,cantidad,media,mediana,desviacion_estandar,minimo,P25,P75,P90,P95,P99,maximo,rango,asimetria,curtosis
popularidad,113842,33.23336729853657,34.0,22.316077969528106,0.0,17.0,50.0,63.0,69.0,80.0,100.0,100.0,0.046896897887200806,-0.9296977394978447
duracion_ms,113842,228108.6596598795,213000.0,106306.24285113283,15800.0,174198.5,261583.0,327835.0000000001,387168.9,530665.8099999995,5237295.0,5221495.0,10.965547507758908,351.16572768229827
duracion_min,113842,3.8018109943313245,3.55,1.771770714185547,0.2633333333333333,2.9033083333333334,4.359716666666667,5.463916666666668,6.452815,8.844430166666658,87.28825,87.02491666666667,10.965547507758908,351.16572768229827
bailabilidad,113842,0.5675823202333059,0.58,0.17238032703962475,0.0513,0.456,0.695,0.784,0.824,0.901,0.985,0.9337,-0.3727815354937525,-0.25837623467585713
energia,113842,0.6420982944036471,0.685,0.2507939816634505,2.02e-05,0.473,0.854,0.941,0.969,0.993,1.0,0.9999798,-0.5941178979239741,-0.5308665084423381
volumen_db,113842,-8.239871918975421,-6.998,4.993665051683815,-46.591,-10.002,-5.0,-3.677,-2.973050000000003,-1.634,4.532,51.123000000000005,-1.9861274537234657,5.751391048292996
presencia_habla,113842,0.08476906853358164,0.049,0.10575891058767418,0.0221,0.0359,0.0846,0.176,0.268,0.507,0.965,0.9429,4.647852440444613,28.815429285469524
acusticidad,113842,0.31465601190158293,0.168,0.33233848030085744,0.0,0.0169,0.597,0.866,0.948,0.992,0.996,0.996,0.7280404480095692,-0.948140753946566
instrumentalidad,113842,0.15536904251699724,4.1e-05,0.308892848634998,0.0,0.0,0.0477,0.831,0.904,0.954,1.0,1.0,1.7403234117254247,1.2917679965012936
presencia_en_vivo,113842,0.21322146141142986,0.132,0.1899289456278031,0.00925,0.098,0.273,0.426,0.678,0.945,1.0,0.99075,2.1092511199176283,4.404507917192033
positividad,113842,0.47471973727622496,0.464,0.2588409308850815,0.0,0.261,0.683,0.841,0.911,0.965,0.995,0.995,0.11671262876175582,-1.0285760899665688
tempo_bpm,113842,122.31614922436358,122.023,29.653539276038064,30.2,99.4295,140.07775,166.1709000000001,175.07395,194.00436,243.372,213.17200000000003,0.31970275048113755,-0.380182381517685
