genero_musical,n,popularidad_media,popularidad_mediana,popularidad_desviacion,bailabilidad_media,energia_media
pop-film,1000,59.28,60.0,10.25,0.6,0.6
k-pop,999,56.95,60.0,16.86,0.65,0.68
chill,1000,53.65,57.0,14.95,0.66,0.43
sad,1000,52.38,54.0,11.49,0.69,0.46
grunge,1000,49.59,55.0,18.49,0.46,0.8
indian,1000,49.54,49.0,11.35,0.59,0.57
anime,1000,48.77,50.0,11.81,0.54,0.67
emo,1000,48.13,51.0,17.59,0.6,0.67
sertanejo,1000,47.87,47.0,3.94,0.59,0.71
pop,1000,47.58,66.0,34.04,0.63,0.61
progressive-house,1000,46.62,52.0,20.19,0.62,0.81
piano,1000,45.27,50.0,20.46,0.46,0.32
mandopop,1000,45.02,49.0,12.97,0.55,0.5
deep-house,1000,44.81,51.0,18.99,0.71,0.74
brazil,1000,44.67,45.0,9.31,0.56,0.62
electronic,1000,44.32,48.0,16.96,0.65,0.69
pagode,1000,44.3,45.0,9.44,0.58,0.71
ambient,997,44.15,50.0,17.93,0.37,0.24
british,1000,43.8,52.0,23.45,0.5,0.51
metal,1000,43.7,57.0,29.99,0.46,0.84
metalcore,1000,43.48,50.0,17.87,0.42,0.91
psych-rock,1000,42.78,51.0,22.01,0.5,0.56
hard-rock,1000,42.78,41.0,25.28,0.48,0.8
acoustic,1000,42.48,47.0,16.54,0.55,0.44
dubstep,1000,42.32,44.0,12.35,0.52,0.76
world-music,997,41.93,44.0,12.16,0.42,0.53
forro,1000,41.83,41.0,4.12,0.65,0.79
gospel,1000,41.64,41.0,5.23,0.47,0.58
j-pop,1000,41.14,41.0,21.98,0.55,0.68
french,1000,41.07,36.5,18.85,0.65,0.59
garage,1000,40.93,35.0,18.08,0.48,0.74
mpb,1000,40.79,42.0,8.99,0.57,0.58
turkish,1000,40.7,40.0,7.99,0.62,0.61
j-rock,1000,40.66,37.0,14.09,0.51,0.76
indie-pop,1000,40.66,47.0,29.26,0.6,0.56
dub,1000,40.04,44.0,14.45,0.58,0.71
techno,1000,39.04,43.0,17.13,0.68,0.75
indie,1000,38.9,47.0,30.14,0.59,0.56
samba,1000,38.83,39.0,7.13,0.57,0.67
punk,1000,38.29,40.0,22.33,0.5,0.81
punk-rock,1000,38.24,38.0,18.8,0.51,0.81
folk,1000,38.01,41.0,24.07,0.56,0.55
spanish,1000,37.92,32.0,20.51,0.6,0.71
groove,1000,37.83,39.0,19.36,0.58,0.76
songwriter,1000,37.81,43.0,27.69,0.56,0.43
singer-songwriter,1000,37.81,43.0,27.69,0.56,0.43
hip-hop,1000,37.76,58.0,32.55,0.74,0.68
trance,1000,37.64,40.0,17.09,0.58,0.85
swedish,1000,37.17,38.0,20.5,0.59,0.62
r-n-b,1000,36.69,42.0,20.31,0.61,0.64
synth-pop,1000,36.58,34.0,21.02,0.62,0.71
hardcore,1000,36.1,32.0,18.51,0.55,0.84
electro,1000,36.08,50.0,34.45,0.65,0.66
ska,1000,35.13,36.0,10.54,0.58,0.79
children,1000,35.05,36.0,16.99,0.72,0.49
edm,1000,35.03,47.0,33.01,0.65,0.76
cantopop,1000,34.74,35.0,13.59,0.55,0.46
sleep,862,34.51,35.0,21.73,0.19,0.38
trip-hop,1000,34.46,38.0,16.57,0.63,0.62
rock-n-roll,1000,34.43,32.0,16.96,0.55,0.53
house,1000,34.16,41.5,34.24,0.67,0.76
minimal-techno,1000,34.02,39.0,15.79,0.73,0.68
alt-rock,1000,33.94,45.0,31.15,0.53,0.75
disco,1000,33.52,32.0,24.76,0.68,0.74
dancehall,1000,33.47,31.0,21.31,0.73,0.69
club,1000,33.34,37.0,13.52,0.6,0.72
funk,1000,32.32,43.0,25.89,0.68,0.63
death-metal,1000,32.17,25.0,14.13,0.37,0.93
rockabilly,1000,31.5,28.0,19.09,0.56,0.66
show-tunes,999,31.26,25.0,16.31,0.46,0.4
blues,1000,31.19,34.0,27.48,0.57,0.58
industrial,1000,31.04,24.0,17.86,0.53,0.86
