indice_origen,id_cancion,particion
0,5SuOikwiRyPMVoIQDJUgSV,entrenamiento
1,4qPNDBW1i3p13qLCt0Ki3A,prueba
2,1iJBSr7s7jYXzM8EGcbK5b,entrenamiento
3,6lfxq3CG4xtTiEg7opyCyx,entrenamiento
4,5vjLSffimiIP26QG5WcN2K,entrenamiento
5,01MVOl9KtVTNfFiBU9I7dc,prueba
6,6Vc5wAMmXdKIAM7WUoEb7N,entrenamiento
7,1EzrEOXmMH3G43AXT1y7pA,entrenamiento
8,0IktbUcnAGrvD03AWnz3Q8,entrenamiento
9,7k9GuJYLp2AzqokyEdwEw2,entrenamiento
10,4mzP5mHkRvGxdhdGdAH7EJ,entrenamiento
11,5ivF4eQBqJiVL5IAE9jRyl,entrenamiento
12,4ptDJbJl35d7gQfeNteBwp,entrenamiento
13,0X9MxHR1rTkEHDjp95F2OO,prueba
14,4LbWtBkN82ZRhz9jqzgrb3,prueba
15,1KHdq8NK9QxnGjdXb55NiG,entrenamiento
16,6xKeQgzfjixSUld14qUezm,entrenamiento
17,4Yo0igmcoNyat1secaH0OD,entrenamiento
18,2qLMf6TuEC3ruGJg4SMMN6,entrenamiento
19,6CgNoAbFJ4Q4Id4EjtbXlC,prueba
20,3S0OXQeoh0w6AY8WQVckRW,prueba
21,210JCw2LbYD4YIs8GiZ9iP,entrenamiento
22,5TvE3pk05pyFIGdSY9j4DJ,prueba
23,0BUuuEvNa5T4lMaewyiudB,entrenamiento
24,3Hn3LfhrQOaKihdCibJsTs,entrenamiento
25,6D33wCKzWtNEgOovgeVJ7r,entrenamiento
26,5IfCZDRXZrqZSm8AwE44PG,entrenamiento
27,0dzKBptH2P5j5a0MifBMwM,entrenamiento
28,5QAMZTM5cmLg3fHX9ZbTZi,entrenamiento
29,2qESE1ZeWly7I3YjyTXmXh,entrenamiento
30,3EQV1ZHtHvq9OnVRYIdbg3,entrenamiento
31,3ax0rfGb7exLtl02LL08U9,entrenamiento
32,1m5LC29RE52Bxy7hxvpOlL,prueba
33,3H36x7buZdQD4687VmFrwY,entrenamiento
34,0xbMRcMFqxJq1Wa7tvWPtn,entrenamiento
35,6h061f44HZPj1OXO2nA45d,entrenamiento
36,62EwQLDw0dprDzuLwQ0sH1,entrenamiento
37,3lvo0I8c2qBJDLZWqExDgC,entrenamiento
38,1ae8XfBQ3fDEvmBjFaemGV,prueba
39,0adVktNVJXPZfhQe6B1NO5,entrenamiento
40,6sp6Vx3sv2l5qxPfbQkcyt,entrenamiento
41,1WFVfVjCtbmdIv7j3Fa9iy,entrenamiento
42,0e5PAxSyZ5DWWVqKANHETz,entrenamiento
43,1MLr9b1fOybO3MGiLy47Ys,entrenamiento
44,6JGjevTaqr9J1xp7YvYUKF,entrenamiento
45,7Af2YlwMZryKOQiRfwMsD2,prueba
46,3RE5nHIVkC4KcA7snFaTKd,entrenamiento
47,0JvkNRyq8Tmot9khpdtN0I,entrenamiento
48,27gHtbsHClwimHFtKgFop4,prueba
49,1QBNBGeIRRGBnLhdlHbfI8,entrenamiento
50,72xTsTouZ5nBmASX8k1XCW,entrenamiento
51,3ILmwMefYZoQh5Cf5jeuUQ,entrenamiento
52,2DHDuADAHoUW6n0z80RLQF,entrenamiento
53,5JDcQAztvZTIkrWoZihgvC,prueba
54,2sYFi9xVSZ56WHKSY2fN1K,entrenamiento
55,6xJOhSm4SvZwzy3uhWz26O,entrenamiento
56,7lLKxcNeJtDTWVRKHovLEC,prueba
57,25UzeaV47eDT44Fovve6xQ,entrenamiento
58,4oa14QBfWRDfJy2agySy0L,entrenamiento
59,2gRKq9rIC5i1zuxp06zJWH,prueba
60,08MFgEQeVLF37EyZ7jcwLc,entrenamiento
61,6nXIYClvJAfi6ujLiKqEq8,prueba
62,7x4b0UccXSKBWxWmjcrG2T,entrenamiento
